organism,experimental_design,de_gene,log_fc,log_cpm,f,p_value,fdr,id,real_differential_expression
1276135,infect48hXinfect144h,MAN_04910,-0.931279516961807,10.1750307500964,12.3883353436633,0.000432651633707,0.002538903344173,,1
1276135,infect48hXinfect144h,MAN_00399,-0.934116406235918,8.68814261696199,10.2437803238901,0.001372862140964,0.006945347706195,,1
1276135,infect48hXinfect144h,MAN_03888,-0.94083446138771,9.74992861109171,12.159255953629,0.000489133647653,0.002826444233662,,1
1276135,infect48hXinfect144h,MAN_02283,-0.949580034949061,8.47413372975648,10.0891701259485,0.001492912767292,0.007463832016474,,1
1276135,infect48hXinfect144h,MAN_08794,-0.966872035735465,8.96543578578749,11.5271202389582,0.000686752762158,0.003808695715741,,1
1276135,infect48hXinfect144h,MAN_03111,-0.981257332218908,8.08292485098582,9.75161929303144,0.001793318536921,0.008751222850746,,1
1276135,infect48hXinfect144h,MAN_03904,-0.994269803317404,7.93669697634989,9.5993752389969,0.001948198760695,0.009412448678506,,1
1276135,infect48hXinfect144h,MAN_01500,-0.995255116354446,8.59861061457021,11.3502550968621,0.0007553068897,0.004142202607013,,1
1276135,infect48hXinfect144h,MAN_00418,-0.99695535971875,9.99729340696349,13.9886690677097,0.000184251016121,0.001198454153966,,1
1276135,infect48hXinfect144h,MAN_05614,-0.997552198095667,8.21921923864433,10.4251942829341,0.001244388304306,0.006377646389759,,1
1276135,infect48hXinfect144h,MAN_05541,-1.00057467968115,8.83555490104635,12.0851068949516,0.00050896664146,0.002925475361499,,1
1276135,infect48hXinfect144h,MAN_02513,-1.01077984849785,8.15670280537888,10.546310323267,0.001165456386268,0.006036815481739,,1
1276135,infect48hXinfect144h,MAN_08621,-1.01192783729198,8.06566937262788,10.30602974491,0.001327330981285,0.006749492829077,,1
1276135,infect48hXinfect144h,MAN_04917,-1.02130545839887,7.92511964525063,10.0476667087092,0.001526912713696,0.007618876109093,,1
1276135,infect48hXinfect144h,MAN_07999,-1.02489686637359,8.82295978187315,12.5963118713717,0.000387087700721,0.002308717812661,,1
1276135,infect48hXinfect144h,MAN_01075,-1.03219400888389,8.454150484639,11.8510427598623,0.000577061178817,0.003260635436428,,1
1276135,infect48hXinfect144h,MAN_03163,-1.0333891792703,7.69689637687584,9.5768223496638,0.001972268657439,0.009483813313164,,1
1276135,infect48hXinfect144h,MAN_05196,-1.0339418588446,9.85771546265002,14.8540995741308,0.000116392492069,0.000800144141578,,1
1276135,infect48hXinfect144h,MAN_01560,-1.04092204343777,7.74165037199575,9.86594399972593,0.001685266257019,0.008299387037827,,1
1276135,infect48hXinfect144h,MAN_08653,-1.04149381519068,10.1071142491314,15.358763433217,8.91009396351322E-05,0.000631508327546,,1
1276135,infect48hXinfect144h,MAN_03481,-1.04153190828378,7.84211608858184,10.2050503443709,0.001401985240176,0.007068140120886,,1
1276135,infect48hXinfect144h,MAN_02459,-1.04255488502735,8.90496207916627,13.256427683748,0.000272094598541,0.001681874430618,,1
1276135,infect48hXinfect144h,MAN_00341,-1.0439405339726,7.69395264357098,9.77730005164639,0.001768450732719,0.008646418515341,,1
1276135,infect48hXinfect144h,MAN_08359,-1.05424089231498,7.85923179392606,10.4309602363784,0.001240510737357,0.006367372425923,,1
1276135,infect48hXinfect144h,MAN_02843,-1.05841569042294,7.93404108049334,10.8177428677173,0.001006454523889,0.005335150566084,,1
1276135,infect48hXinfect144h,MAN_10293,-1.05984209046924,7.66428532190228,9.94972505732536,0.001610290453736,0.007980248949298,,1
1276135,infect48hXinfect144h,MAN_05833,-1.06794754785018,8.54598098763792,12.9289132153419,0.000324054484755,0.001966110464017,,1
1276135,infect48hXinfect144h,MAN_01728,-1.07531387914071,8.72002486275272,13.4954791170659,0.000239546533508,0.001502543109011,,1
1276135,infect48hXinfect144h,MAN_10613,-1.08247573505509,7.69466147033841,10.5078596306974,0.001189950162906,0.006154311212716,,1
1276135,infect48hXinfect144h,MAN_08025,-1.08452705643255,7.96316116780608,11.4506000084597,0.000715605595344,0.003951522180245,,1
1276135,infect48hXinfect144h,MAN_08631,-1.09144091507999,8.56659547294761,13.5468690934029,0.000233078703492,0.00147011112982,,1
1276135,infect48hXinfect144h,MAN_04264,-1.10042570498339,8.94201731960534,14.8256150762027,0.000118162789635,0.000810452112635,,1
1276135,infect48hXinfect144h,MAN_08341,-1.10311460945539,8.19008484947777,12.6056691194388,0.000385155481718,0.00230123067255,,1
1276135,infect48hXinfect144h,MAN_02857,-1.10580322216391,7.83289312263143,11.4335728654917,0.000722190705241,0.003985726733089,,1
1276135,infect48hXinfect144h,MAN_01503,-1.11300319188661,7.3752018684585,9.88041273887657,0.001672069956052,0.008242359343533,,1
1276135,infect48hXinfect144h,MAN_08376,-1.11513885359827,9.03355347882785,15.4624755279872,8.43449487212749E-05,0.000599466294082,,1
1276135,infect48hXinfect144h,MAN_02447,-1.11714421107035,9.94829657934666,17.3182800463501,3.16994376079292E-05,0.000251206343561,,1
1276135,infect48hXinfect144h,MAN_02990,-1.12293068435448,8.01156782810768,12.390006300463,0.000432264792275,0.002538903344173,,1
1276135,infect48hXinfect144h,MAN_00703,-1.12655351248762,7.96565509017037,12.3426595752765,0.000443362356248,0.00258983543607,,1
1276135,infect48hXinfect144h,MAN_03960,-1.13048931799911,7.24842515031393,9.69076969785908,0.001853666252924,0.009015518413722,,1
1276135,infect48hXinfect144h,MAN_02794,-1.15538823321665,8.83524599260328,15.9705015844574,6.44878513844527E-05,0.000473855616909,,1
1276135,infect48hXinfect144h,MAN_08882,-1.15579715293025,7.9728624339967,13.0134938307717,0.000309746815014,0.00189508564267,,1
1276135,infect48hXinfect144h,MAN_08048,-1.15641442250927,9.5083357986764,17.7897581086914,2.47416727794673E-05,0.000203172560932,,1
1276135,infect48hXinfect144h,MAN_08724,-1.16446964738871,7.54828076974921,11.5189859663454,0.00068976321563,0.003823312519678,,1
1276135,infect48hXinfect144h,MAN_03591,-1.17170859714054,9.25872000242852,17.6100357822131,2.71918017494116E-05,0.00022006418915,,1
